time,observed_speed,target_speed,observed_distance
1711027604.573646,0.0004981412835358156,0.25,0.5999999999999996
1711027604.621426,0.05969389700279946,0.25,0.5999999999999996
1711027604.668548,0.22651825915093549,0.25,0.5800000000000001
1711027604.729432,0.3877939646213146,0.25,0.54
1711027604.775741,0.482163491601596,0.25,0.48999999999999977
1711027604.823429,0.43625184543838214,0.25,0.48999999999999977
1711027604.870583,0.3418765467575683,0.25,0.48999999999999977
1711027604.933259,0.24954719599054156,0.25,0.48999999999999977
1711027604.979532,0.16186145608966263,0.25,0.48999999999999977
1711027605.027316,0.12187168275972901,0.25,0.48999999999999977
1711027605.073644,0.24816695953393422,0.25,0.48999999999999977
1711027605.120303,0.40756771483131754,0.25,0.48999999999999977
1711027605.182734,0.48350409664045335,0.25,0.48999999999999977
1711027605.229454,0.43034407629139854,0.25,0.040000000000000036
1711027605.27724,0.3390019582352628,0.25,0.03000000000000025
1711027605.323801,0.2506431227560639,0.25,-0.03000000000000025
1711027605.385649,0.17127069719824314,0.25,-0.0699999999999994
1711027605.433607,0.1862382319232483,0.25,-0.08999999999999986
1711027605.480747,0.24416099656724635,0.25,-0.1200000000000001
1711027605.528325,0.38366623757718615,0.25,-0.17999999999999972
1711027605.573055,0.4542974535724499,0.25,-0.25
1711027605.635333,0.40375397384735184,0.25,-0.3100000000000005
1711027605.682459,0.31156803931333893,0.25,-0.3600000000000003
1711027605.730299,0.22034373377084251,0.25,-0.39000000000000057
1711027605.775528,0.15660025661773416,0.25,-0.41000000000000014
1711027605.837838,0.18474324626390906,0.25,-0.41999999999999993
1711027605.885431,0.3265099920587609,0.25,-0.4500000000000002
1711027605.917534,0.47111902502005365,0.25,-0.47999999999999954
1711027605.980748,0.4682288611419951,0.25,-0.5300000000000002
1711027606.027477,0.384930236670029,0.25,-0.54
1711027606.089459,0.302223032419214,0.25,-0.5500000000000003
1711027606.12105,0.218282666300807,0.25,-0.56
1711027606.18362,0.1553572187595089,0.25,-0.56
1711027606.213549,0.24008999366302597,0.25,-0.56
1711027606.291305,0.38673830503299933,0.25,-0.5800000000000001
1711027606.322635,0.4543971661875942,0.25,-0.5899999999999999
1711027606.368854,0.46802390057881615,0.25,-0.6000000000000001
1711027606.432213,0.38058240685533273,0.25,-0.6000000000000001
1711027606.477983,0.2938631701793218,0.25,-0.5899999999999994
1711027606.526048,0.20820750874442978,0.25,-0.5899999999999994
1711027606.573303,0.1766288335552289,0.25,-0.5899999999999994
1711027606.621609,0.2024802197714311,0.25,-0.5799999999999996
1711027606.66892,0.3348626246325659,0.25,-0.5699999999999998
1711027606.7311,0.4516883080916705,0.25,-0.5500000000000003
1711027606.777442,0.4358525265836489,0.25,-0.5300000000000002
1711027606.824743,0.36440722776653545,0.25,-0.5099999999999998
1711027606.871765,0.2860407338638118,0.25,-0.48
1711027606.919318,0.20807524752326242,0.25,-0.45999999999999996
1711027606.981788,0.19249335343740312,0.25,-0.4400000000000004
1711027607.027858,0.2736591204697928,0.25,-0.41999999999999993
1711027607.075354,0.39378084530895463,0.25,-0.40000000000000036
1711027607.122621,0.48482169674318554,0.25,-0.35000000000000053
1711027607.170852,0.4291640449774964,0.25,-0.2999999999999998
1711027607.232302,0.34537683645207234,0.25,-0.2600000000000007
1711027607.279333,0.26254622528712673,0.25,-0.17999999999999972
1711027607.325591,0.18037644232622982,0.25,-0.16000000000000014
1711027607.373688,0.14043580060233407,0.25,-0.15000000000000036
1711027607.419019,0.25375203381216704,0.25,-0.1299999999999999
1711027607.481609,0.4169599205802104,0.25,-0.09999999999999964
1711027607.527535,0.4996390537425193,0.25,-0.05999999999999961
1711027607.575321,0.5072957635960706,0.25,-0.009999999999999787
1711027607.621555,0.4269770190492488,0.25,0.03000000000000025
1711027607.684553,0.34720841650965173,0.25,0.0699999999999994
1711027607.732115,0.26999772780216297,0.25,0.08999999999999986
1711027607.77852,0.1920672485677135,0.25,0.11000000000000032
1711027607.826249,0.13135406690560397,0.25,0.11000000000000032
1711027607.875533,0.23623982952419256,0.25,0.1200000000000001
1711027607.935725,0.39974154066447004,0.25,0.13999999999999968
1711027607.983399,0.4998684775324745,0.25,0.16999999999999993
1711027608.030628,0.5529408506734645,0.25,0.1900000000000004
1711027608.077488,0.4731205435358132,0.25,0.20999999999999996
1711027608.126284,0.39311789105153094,0.25,0.2400000000000002
1711027608.17277,0.31373191515510873,0.25,0.25
1711027608.234633,0.23497197475393627,0.25,0.2599999999999998
1711027608.281706,0.1904533911905064,0.25,0.2599999999999998
1711027608.328097,0.23852928252549577,0.25,0.2699999999999996
1711027608.375789,0.3203254794498767,0.25,0.2699999999999996
1711027608.437998,0.3947823571085753,0.25,0.2699999999999996
1711027608.469528,0.38631095648842945,0.25,0.2699999999999996
1711027608.516656,0.33464609683496294,0.25,0.2699999999999996
1711027608.64319,0.2598069453090614,0.25,0.2699999999999996
1711027608.674336,0.2001206089785907,0.25,0.2699999999999996
1711027608.691873,0.14095051486739968,0.25,0.2599999999999998
1711027608.721821,0.16091165968096788,0.25,0.2599999999999998
1711027608.784435,0.306985218861657,0.25,0.2599999999999998
1711027608.831351,0.479353299518386,0.25,0.2400000000000002
1711027608.878161,0.629915691439626,0.25,0.22999999999999954
1711027608.926731,0.5800198244230362,0.25,0.2599999999999998
1711027608.987501,0.499602422460863,0.25,0.23000000000000043
1711027609.033724,0.4238246751551023,0.25,0.20000000000000018
1711027609.080638,0.34775952982030545,0.25,0.16999999999999993
1711027609.127862,0.2723649555317004,0.25,0.14999999999999947
1711027609.175099,0.19748302480622962,0.25,0.1299999999999999
1711027609.240205,0.19878949787911232,0.25,0.1200000000000001
