kp,oscillation_period
0.011,0.45145451616157184
0.0121,0.4500725269317627
0.01331,0.46361942379021204
0.014641,0.45883630514144896
0.0161051,0.4613681369357639
0.01771561,0.4321076931980993
0.019487171,0.42535088528161763
0.0214358881,0.4253281010368656
0.02357947691,0.4251264070713076
0.025937424601,0.42854860763658176
0.0285311670611,0.4268245365131985
0.03138428376721,0.42883629963789616
0.034522712143931,0.4213651988817298
0.0379749833583241,0.43310127788119845
0.0417724816941565,0.4370501822555846
0.0459497298635722,0.4345710799098015
0.0505447028499294,0.4297035554263963
0.0611590904484146,0.4426968271082098
0.0672749994932561,0.4487188701276426
0.0740024994425817,0.4460434038704688
0.0814027493868399,0.45572099145853295
0.0895430243255239,0.45424053156487293
0.0984973267580762,0.4572048209748178
0.1083470594338839,0.4456091102110137
0.1191817653772723,0.45422797336756626
0.1310999419149995,0.45911399148545173
0.1442099361064995,0.4510414821130258
0.1586309297171495,0.4548262357711792
0.1919434249577509,0.4639283816019694
0.211137767453526,0.4705004275423809
0.2322515441988786,0.4700606031325257
0.2554766986187665,0.47757333400202734
0.3091268053287075,0.44973203870985246
0.3400394858615783,0.4765088721817615
0.3740434344477362,0.4536551783018023
0.4114477778925098,0.43927764033412076
0.4525925556817609,0.44690348686428244
0.497851811249937,0.44829853817268656
0.5476369923749307,0.4405791911211881
0.6024006916124238,0.4448958711886625
0.6626407607736663,0.4501343642439798
0.728904836851033,0.4473377805237376
0.8017953205361363,0.44973203870985246
0.8819748525897501,0.45291250442790093
0.9701723378487253,0.43659048681860574
1.0671895716335975,0.4492937238128097
1.1739085287969575,0.45525682306735316
1.2912993816766534,0.4683907471814202
1.4204293198443187,0.45147317592228686
1.5624722518287508,0.4539382524579485
1.718719477011626,0.4456091102110137
1.8905914247127888,0.45002215879934804
2.079650567184068,0.4524764390749352
2.2876156239024747,0.4472844998041789
2.5163771862927224,0.44603651379226544
2.768014904921995,0.4446212020489054
3.0448163954141947,0.4422702832655473
3.3492980349556145,0.44317821187710543
3.684227838451176,0.44589351514063846
4.052650622296294,0.4423221273159762
4.457915684525924,0.4529116265127592
4.903707252978516,0.4418536814776334
5.394077978276369,0.44632780880009365
5.933485776104006,0.4431809722830396
6.526834353714407,0.4519043280699543
7.179517789085849,0.45389579023633686
